var1,var2,pearson_corr
สนใจ_เหล้าเบียร์,สนใจ_อาหารไทย,0.2237972428060708
สนใจ_เสื้อผ้าแฟชั่น,สนใจ_อาหารไทย,0.3055903585388215
สนใจ_แต่งหน้า,สนใจ_อาหารไทย,0.27528223525225165
สนใจ_skincare_บำรุงผิว,สนใจ_อาหารไทย,0.1820622462584522
สนใจ_การออกกำลังกาย,สนใจ_อาหารไทย,0.12324450601683754
สนใจ_การเล่นเกมส์,สนใจ_อาหารไทย,-0.0344925752773003
สนใจ_การท่องเที่ยว,สนใจ_อาหารไทย,0.1191557123249964
สนใจ_การอ่านหนังสือ,สนใจ_อาหารไทย,-0.0860732728897117
สนใจ_การอ่านบทความ_Online,สนใจ_อาหารไทย,-0.041236299490452905
สนใจ_การเรียน_e-learning,สนใจ_อาหารไทย,0.31242415756988606
สนใจ_ดู_Series,สนใจ_อาหารไทย,0.11664974922611927
สนใจ_ดูหนัง,สนใจ_อาหารไทย,0.060890533664484575
สนใจ_ดู_Youtube,สนใจ_อาหารไทย,0.2962583277258899
สนใจ_ดู_Netflix,สนใจ_อาหารไทย,0.30139938828414314
สนใจ_Content_ด้านบันเทิง,สนใจ_อาหารไทย,0.3589326412152508
สนใจ_Content_เกี่่ยวกับเกมส์,สนใจ_อาหารไทย,0.08049437112884368
สนใจ_Content_เกี่ยวกับการ_review_ร้านอาหาร,สนใจ_อาหารไทย,0.25879288849923976
สนใจ_Content_เกี่ยวกับการท่องเที่ยว,สนใจ_อาหารไทย,0.30704525738433625
สนใจ_Content_เกี่ยวกับการแต่งบ้าน,สนใจ_อาหารไทย,0.22876531455391957
สนใจ_Content_เกี่ยวกับการโทรทัศน์,สนใจ_อาหารไทย,0.25893878349363353
สนใจ_Content_เกี่ยวกับละคร,สนใจ_อาหารไทย,0.3680521239648831
สนใจ_Content_เกี่ยวกับการเมือง,สนใจ_อาหารไทย,0.2944856043797534
บริโภค_อาหารญี่ปุ่น,สนใจ_อาหารไทย,0.1293250447745781
บริโภค_อาหารจึน,สนใจ_อาหารไทย,-0.22949525548870284
บริโภค_อาหารไทย,สนใจ_อาหารไทย,0.1399947479966899
บริโภค_อาหารอีสาน,สนใจ_อาหารไทย,0.3769260367150525
บริโภค_อาหารสุขภาพ,สนใจ_อาหารไทย,0.12835982235789575
บริโภค_บุฟเฟต์,สนใจ_อาหารไทย,0.04002524500565048
บริโภค_ชาบูชาบู,สนใจ_อาหารไทย,-0.038830536266497594
บริโภค_ปิ้งย่าง,สนใจ_อาหารไทย,0.039630750996778395
บริโภค_เหล้าเบียร์,สนใจ_อาหารไทย,-0.021767055204848597
บริโภค_เสื้อผ้าแฟชั่น,สนใจ_อาหารไทย,0.2633991280709398
บริโภค_แต่งหน้า,สนใจ_อาหารไทย,0.06943130419775576
บริโภค_skincare_บำรุงผิว,สนใจ_อาหารไทย,0.005872090182756282
บริโภค_การออกกำลังกาย,สนใจ_อาหารไทย,0.1501827220422253
บริโภค_การเล่นเกมส์,สนใจ_อาหารไทย,0.08197643718778144
บริโภค_การท่องเที่ยว,สนใจ_อาหารไทย,0.27290401038754225
บริโภค_การอ่านหนังสือ,สนใจ_อาหารไทย,-0.10666718626199721
บริโภค_การอ่านบทความ_Online,สนใจ_อาหารไทย,-0.07270964740677088
บริโภค_การเรียน_e-learning,สนใจ_อาหารไทย,0.16094156456778264
บริโภค_ดู_Series,สนใจ_อาหารไทย,0.05304867332631043
บริโภค_ดูหนัง,สนใจ_อาหารไทย,0.03590486586217227
บริโภค_ดู_Youtube,สนใจ_อาหารไทย,0.22482563811929873
บริโภค_ดู_Netflix,สนใจ_อาหารไทย,0.08268366976526767
บริโภค_Content_ด้านบันเทิง,สนใจ_อาหารไทย,0.2811918809440849
บริโภค_Content_เกี่่ยวกับเกมส์,สนใจ_อาหารไทย,-0.05066577153961811
บริโภค_Content_เกี่ยวกับการ_review_ร้านอาหาร,สนใจ_อาหารไทย,0.21368224976073713
บริโภค_Content_เกี่ยวกับการท่องเที่ยว,สนใจ_อาหารไทย,0.25906261053660035
บริโภค_Content_เกี่ยวกับการแต่งบ้าน,สนใจ_อาหารไทย,0.2468543220649649
บริโภค_Content_เกี่ยวกับการโทรทัศน์,สนใจ_อาหารไทย,0.31781052645439234
บริโภค_Content_เกี่ยวกับละคร,สนใจ_อาหารไทย,0.3177163921666079
บริโภค_Content_เกี่ยวกับการเมือง,สนใจ_อาหารไทย,0.33670525212970415
birth_year,สนใจ_อาหารไทย,0.03149095028336585
age,สนใจ_อาหารไทย,0.14316452746906688
สนใจ_อาหารญี่ปุ่น,สนใจ_อาหารอีสาน,0.14766118067099512
สนใจ_อาหารจึน,สนใจ_อาหารอีสาน,-0.0015424362272617286
สนใจ_อาหารไทย,สนใจ_อาหารอีสาน,0.5876204734990261
สนใจ_อาหารอีสาน,สนใจ_อาหารอีสาน,1.0
สนใจ_อาหารสุขภาพ,สนใจ_อาหารอีสาน,0.27263973046430845
สนใจ_บุฟเฟต์,สนใจ_อาหารอีสาน,-0.02113538798905227
สนใจ_ชาบูชาบู,สนใจ_อาหารอีสาน,0.002153148064555782
สนใจ_ปิ้งย่าง,สนใจ_อาหารอีสาน,-0.2140176030185204
สนใจ_เหล้าเบียร์,สนใจ_อาหารอีสาน,0.09886452716921489
สนใจ_เสื้อผ้าแฟชั่น,สนใจ_อาหารอีสาน,0.38825436788896106
สนใจ_แต่งหน้า,สนใจ_อาหารอีสาน,0.20228148162809478
สนใจ_skincare_บำรุงผิว,สนใจ_อาหารอีสาน,0.24680842598936828
สนใจ_การออกกำลังกาย,สนใจ_อาหารอีสาน,-0.03855985933633751
สนใจ_การเล่นเกมส์,สนใจ_อาหารอีสาน,-0.2722267074354753
สนใจ_การท่องเที่ยว,สนใจ_อาหารอีสาน,0.03210712971237297
สนใจ_การอ่านหนังสือ,สนใจ_อาหารอีสาน,0.004238608202718232
สนใจ_การอ่านบทความ_Online,สนใจ_อาหารอีสาน,0.028928923455069953
สนใจ_การเรียน_e-learning,สนใจ_อาหารอีสาน,0.24775419747674818
สนใจ_ดู_Series,สนใจ_อาหารอีสาน,0.07366631142573869
สนใจ_ดูหนัง,สนใจ_อาหารอีสาน,0.2032510014230997
สนใจ_ดู_Youtube,สนใจ_อาหารอีสาน,0.2728050973459852
สนใจ_ดู_Netflix,สนใจ_อาหารอีสาน,0.25115922278582997
สนใจ_Content_ด้านบันเทิง,สนใจ_อาหารอีสาน,0.21332545398826824
สนใจ_Content_เกี่่ยวกับเกมส์,สนใจ_อาหารอีสาน,-0.13896540393273632
สนใจ_Content_เกี่ยวกับการ_review_ร้านอาหาร,สนใจ_อาหารอีสาน,0.1047301389153854
สนใจ_Content_เกี่ยวกับการท่องเที่ยว,สนใจ_อาหารอีสาน,0.24620532397152883
สนใจ_Content_เกี่ยวกับการแต่งบ้าน,สนใจ_อาหารอีสาน,0.2334745441536422
สนใจ_Content_เกี่ยวกับการโทรทัศน์,สนใจ_อาหารอีสาน,0.05922884984274802
สนใจ_Content_เกี่ยวกับละคร,สนใจ_อาหารอีสาน,0.1837300201525616
สนใจ_Content_เกี่ยวกับการเมือง,สนใจ_อาหารอีสาน,0.24593203876621134
บริโภค_อาหารญี่ปุ่น,สนใจ_อาหารอีสาน,0.028352100935165166
บริโภค_อาหารจึน,สนใจ_อาหารอีสาน,-0.20962108789320225
บริโภค_อาหารไทย,สนใจ_อาหารอีสาน,0.002784359383268026
บริโภค_อาหารอีสาน,สนใจ_อาหารอีสาน,0.649083604431227
บริโภค_อาหารสุขภาพ,สนใจ_อาหารอีสาน,0.13747932945295238
บริโภค_บุฟเฟต์,สนใจ_อาหารอีสาน,-0.12694542874587195
บริโภค_ชาบูชาบู,สนใจ_อาหารอีสาน,-0.21144128261336223
